#{"t_start": 1624761614.6802588, "env_id": null}
r,l,t
0.823705,999,2614.402231
0.855089,999,2618.179351
0.864593,999,2641.081295
0.95791,999,2644.86959
0.850885,999,2648.633499
0.834863,999,2652.400381
0.740479,999,2656.158483
0.704609,999,2659.914911
0.753211,999,2663.67082
0.871137,999,2667.434883
0.811323,999,2671.192361
0.742048,999,2674.949389
0.731803,999,2678.712444
0.76779,999,2682.469466
0.733034,999,2686.225192
0.817294,999,2689.985275
0.90152,999,2693.744544
0.83072,999,2697.550317
0.611648,999,2701.316673
0.33939,999,2705.086931
0.037148,999,2708.850894
0.570217,999,2712.609124
0.568545,999,2716.379437
0.938639,999,2720.140656
0.748767,999,2723.894684
0.657405,999,2727.654493
0.77459,999,2731.417945
0.754431,999,2735.1848
0.645342,999,2738.949046
0.721402,999,2742.711107
0.899558,999,2746.470533
